Artist Name,Album/Single Title,Release Date,Record Label,Subsidiary Label,Genre,Release Type,Units Sold (Millions),Streaming Numbers (Billions),Grammy Awards,Chart Peak (Billboard 200/Hot 100),Regional Marketing Campaigns,Local Artist Collaborations,Film/Media Tie-ins,
Adele,21,2011-01-24,Sony Music Entertainment,Columbia Records,Pop,Album,31,15.2,6,1,Standard global release,None,Featured in various Indian TV shows,
The Black Keys,El Camino,2011-12-06,Warner Music Group,Nonesuch Records,Alternative/Indie,Album,2.5,4.8,3,2,Limited promotion,None,None,
Daft Punk,Random Access Memories,2013-05-17,Sony Music Entertainment,Columbia Records,Electronic,Album,4.2,6.5,5,1,Digital campaigns,None,Get Lucky used in ads,
Katy Perry,Prism,2013-10-18,Universal Music Group,Capitol Records,Pop,Album,4.1,6.9,0,1,MTV India promotions,None,None,
Sam Smith,In the Lonely Hour,2014-05-26,Universal Music Group,Capitol Records,Pop,Album,7.2,8.3,4,2,VH1 India features,None,None,
Maroon 5,V,2014-08-29,Universal Music Group,Interscope Records,Pop,Album,3.2,7.1,0,1,India Tour 2015,None,Sugar featured in wedding videos,
Taylor Swift,1989,2014-10-27,Universal Music Group,Big Machine Records,Pop,Album,10.2,12.5,3,1,Fan meetups in Mumbai,None,None,
Justin Bieber,Purpose,2015-11-13,Universal Music Group,Def Jam Recordings,Pop,Album,6.5,13.4,1,1,Purpose Tour Mumbai 2017,None,Mark My Words in TV series,
Coldplay,A Head Full of Dreams,2015-12-04,Warner Music Group,Parlophone,Alternative/Indie,Album,5.1,7.5,0,2,Global Citizen India Festival,None,Hymn for the Weekend shot in India,
Rihanna,Anti,2016-01-28,Universal Music Group,Roc Nation,R&B,Album,2.5,9.7,0,1,Social media focus,None,None,
Beyoncé,Lemonade,2016-04-23,Sony Music Entertainment,Columbia Records,R&B,Album,3.8,5.2,2,1,Exclusive streaming release,None,None,
Red Hot Chili Peppers,The Getaway,2016-06-17,Warner Music Group,Warner Records,Alternative/Indie,Album,1.2,3.5,0,2,Rock festival circuits,None,None,
Bruno Mars,24K Magic,2016-11-18,Warner Music Group,Atlantic Records,R&B,Album,4.8,8.5,6,2,Digital-first campaign,None,None,
Khalid,American Teen,2017-03-03,Sony Music Entertainment,RCA Records,R&B,Album,3.1,8.5,0,4,Targeted Spotify playlists,None,None,
